city,xco2_ppm,xco2_numsams,xco2_std,lat_mean,lon_mean,lat_median,lon_median,target_name,sif_757nm,sif_numsams,sif_std,wkt_center,wkt_boundary,country,region,population,gdp_bil_usd,annual_co2_em_mtco2,numsams_ahn2025,low_sample_count,quadrant,coastal_km,is_coastal
Baghdad,417.08032,42178.0,3.574074,33.33821,44.38469,33.340652,44.389793,fossil_Baghdad_Iraq,0.10113144,95483,0.15725207,POINT(44.39309000000003 33.34213000000005),"POLYGON((43.96516013579969 32.98073536938481,43.96161778010989 33.7020169855284,44.82456221989017 33.7020169855284,44.82101986420037 32.98073536938481,43.96516013579969 32.98073536938481))",,,,,,,True,LOW_both,594.0170307343382,False
Ballarat,413.17212,6324.0,3.04154,-37.423164,144.10858,-37.419846,144.11887,ecostress_au_wom,0.21622276,18121,0.21039388,POINT(144.0944 -37.4222),"POLYGON((143.867911540734 -37.6021835282658,143.8689944477289 -37.2417791209371,144.3198055522711 -37.2417791209371,144.320888459266 -37.6021835282658,143.867911540734 -37.6021835282658))",,,,,,,True,LOW_both,103.02614392760096,False
Baltimore,416.2595,26181.0,4.6051874,39.190624,-76.73249,39.15159,-76.7414,fossil_Baltimore_USA,0.3035493,49494,0.24091518,POINT(-76.60925999999995 39.29058000000003),"POLYGON((-77.07055665053036 38.92936529799321,-77.07530867350775 39.64992592910962,-76.14321132649216 39.64992592910962,-76.14796334946955 38.92936529799321,-77.07055665053036 38.92936529799321))",,,,,,,True,LOW_both,35.222694406013645,True
Baotou,418.1114,51300.0,3.5831602,40.668125,109.809616,40.675903,109.809814,fossil_Baotou_China,0.06874466,87288,0.17381185,POINT(109.8222200000001 40.65222000000006),"POLYGON((109.3517967223803 40.29104518956779,109.34671010619 41.01143513439498,110.2977298938101 41.01143513439498,110.2926432776198 40.29104518956779,109.3517967223803 40.29104518956779))",,,,,,,True,LOW_emissions_HIGH_conc,901.9226368909445,False
Barcelona,418.07867,11589.0,3.265951,41.513233,2.0129237,41.518898,1.9969373,fossil_Barcelona_Spain,0.12339592,25613,0.13623677,POINT(2.170010000000048 41.38804000000005),"POLYGON((1.694388971000706 41.02688627471441,1.689110507827053 41.74718341130998,2.650909492173042 41.74718341130998,2.645631028999389 41.02688627471441,1.694388971000706 41.02688627471441))",Spain,Europe,3617341.0,193.6,23.661,9.0,False,LOW_emissions_HIGH_conc,11.542698734160592,True
Beer Sheva,415.4622,4041.0,2.6877308,31.364021,35.071194,31.373882,35.079468,ecostress_il_yat,0.0668354,7454,0.18730342,POINT(35.0519 31.3451),"POLYGON((34.84212407287703 31.16454393319275,34.84132196042358 31.52530678162645,35.26247803957639 31.52530678162645,35.26167592712295 31.16454393319275,34.84212407287703 31.16454393319275))",,,,,,,True,LOW_both,61.22205539054623,False
Beijing,419.32343,23037.0,3.822467,39.88738,116.40176,39.88161,116.40707,fossil_Beijing_China,0.16123629,64128,0.19466291,POINT(116.39723 39.90750000000003),"POLYGON((115.9318752850915 39.54630349646369,115.9269748195112 40.26678698125344,116.8674851804889 40.26678698125344,116.8625847149086 39.54630349646369,115.9318752850915 39.54630349646369))",,,,,,,True,LOW_emissions_HIGH_conc,205.3323737594769,False
Bend,415.26788,7712.0,2.7033703,44.444733,-121.539566,44.445137,-121.52994,ecostress_us_me2,0.113660336,12816,0.1469846,POINT(-121.557 44.4523),"POLYGON((-121.8075051167663 44.27203862458,-121.8090485820174 44.63200289193756,-121.3049514179827 44.63200289193756,-121.3064948832338 44.27203862458,-121.8075051167663 44.27203862458))",,,,,,,True,LOW_both,275.5300373061967,False
Bengaluru,417.42554,10914.0,2.8625903,12.991821,77.58467,13.000167,77.59035,fossil_Bangalore_India,0.18061972,55660,0.16098858,POINT(77.58742000000007 12.96685000000002),"POLYGON((77.21927795250326 12.60502661999094,77.21821337867664 13.32814130789641,77.9566266213235 13.32814130789641,77.95556204749687 12.60502661999094,77.21927795250326 12.60502661999094))",,,,,,,True,LOW_both,273.7176452328962,False
Benha,416.17014,27917.0,3.6324615,30.394289,31.16952,30.371056,31.167423,fossil_Benha_Egypt,0.19122076,77800,0.18304434,POINT(31.17858000000007 30.45906000000008),"POLYGON((30.76360579034244 30.09758000397126,30.76053623447419 30.81919038015478,31.59662376552595 30.81919038015478,31.5935542096577 30.09758000397126,30.76360579034244 30.09758000397126))",,,,,,,True,LOW_both,106.54859332523216,False
