Target ID,Target Name,Priority Number,High Priority Start Date,High Priority End Date,Site Center WKT,Site Shape WKT,Number of Desired Observations,Mode,Swath Scale,Scan Direction,Glint Check,Rotate Target,Ascending Centroid WKT,Ascending Polygon WKT,Ascending Along,Ascending Across,Descending Centroid WKT,Descending Polygon WKT,Descending Along,Descending Across,lon,lat,city,country,population,Edit notes,Unnamed: 27,countrycode,gdp_per_capita_country_2024,gdp_bil_usd,coastal_km,is_coastal
fossil0117,fossil_Esfahan_Iran,178,,,POINT(51.67761000000007 32.65722000000005),"POLYGON((51.25292865366595 32.29580479558014,51.24950423827443 33.01716597069171,52.10571576172572 33.01716597069171,52.1022913463342 32.29580479558014,51.25292865366595 32.29580479558014))",3,Area Mapping Mode,1.0,0,1,1,POINT(51.681384 32.660395),"POLYGON((51.530994 32.215717,51.153915 32.532448,51.833279 33.104889,52.21035 32.786129,51.530994 32.215717))",90.0,50.0,POINT(51.681384 32.654045),"POLYGON((51.152477 32.779846,51.529579 33.09856,52.20879 32.526031,51.831684 32.209351,51.152477 32.779846))",90.0,50.0,51.67761,32.65722,Isfahan,Iran,1628000,,,IRN,5190.16959,8.449596093,370.6644984421973,False
fossil0118,fossil_Portland_USA,179,,,POINT(-122.67563 45.51179000000008),"POLYGON((-123.1842815784977 45.150745258349,-123.1908067772139 45.87051795757355,-122.160453222786 45.87051795757355,-122.1669784215022 45.150745258349,-123.1842815784977 45.150745258349))",6,Area Mapping Mode,1.0,0,1,1,POINT(-122.670044 45.513993),"POLYGON((-123.013145 45.11948,-123.329918 45.509502,-122.322105 45.907463,-122.010109 45.514683,-123.013145 45.11948))",90.0,50.0,POINT(-122.670045 45.509586),"POLYGON((-123.329926 45.510296,-123.017929 45.903069,-122.010223 45.505077,-122.326996 45.115063,-123.329926 45.510296))",90.0,50.0,-122.67563,45.51179,Portland,United States of America,1875000,,,USA,84534.04078,158.5013265,136.1893675403117,False
fossil0119,fossil_Indianapolis_USA,180,,,POINT(-86.14995999999996 39.76691000000005),"POLYGON((-86.61437888907571 39.40570936604208,-86.6192450777489 40.12621046040641,-85.68067492225103 40.12621046040641,-85.68554111092422 39.40570936604208,-86.61437888907571 39.40570936604208))",6,Area Mapping Mode,1.0,0,1,1,POINT(-86.14537 39.769689),"POLYGON((-86.376251 39.342888,-86.73867 39.694427,-85.911606 40.196026,-85.550797 39.841923,-86.376251 39.342888))",90.0,50.0,POINT(-86.14537 39.76413),"POLYGON((-86.739868 39.836483,-86.378975 40.190514,-85.552147 39.688751,-85.914642 39.337284,-86.739868 39.836483))",90.0,50.0,-86.14996,39.76691,Indianapolis,United States of America,1436000,,,USA,84534.04078,121.3908826,1046.3542245283677,False
fossil0120,fossil_Zibo_China,181,,,POINT(118.0633300000001 36.79056000000003),"POLYGON((117.6172608507422 36.42927010207518,117.6130621856482 37.15013945333836,118.513597814352 37.15013945333836,118.5093991492579 36.42927010207518,117.6172608507422 36.42927010207518))",3,Area Mapping Mode,1.0,0,1,1,POINT(118.067534 36.793533),"POLYGON((117.875931 36.357445,117.504272 36.692913,118.26133 37.229309,118.632263 36.891491,117.875931 36.357445))",90.0,50.0,POINT(118.067533 36.787586),"POLYGON((117.502853 36.885544,117.873756 37.223362,118.630753 36.686966,118.259117 36.351498,117.502853 36.885544))",90.0,50.0,118.06333,36.79056,Zibo,China,3061000,,,CHN,13303.14815,40.72093649,131.73978458427626,False
fossil0121,fossil_San_Antonio_USA,27,,,POINT(-98.49460999999997 29.42458000000005),"POLYGON((-98.90537406212593 29.06307038953209,-98.90828795019429 29.78479450725505,-98.08093204980563 29.78479450725505,-98.08384593787399 29.06307038953209,-98.90537406212593 29.06307038953209))",4,Area Mapping Mode,1.0,0,1,1,POINT(-98.491104 29.427874),"POLYGON((-98.616989 28.978683,-98.995018 29.283154,-98.364098 29.876945,-97.985764 29.570694,-98.616989 28.978683))",90.0,50.0,POINT(-98.491105 29.421286),"POLYGON((-98.996384 29.564178,-98.618019 29.870377,-97.987251 29.276493,-98.365311 28.972076,-98.996384 29.564178))",90.0,50.0,-98.49461,29.42458,San Antonio,United States of America,1473000,,,USA,84534.04078,124.5186421,249.78832736054832,False
fossil0122,fossil_Taejon_South_Korea,183,,,POINT(127.1897200000001 36.08139000000006),"POLYGON((126.7476379329937 35.72007853407383,126.743583527296 36.44103410359179,127.6358564727042 36.44103410359179,127.6318020670066 35.72007853407383,126.7476379329937 35.72007853407383))",4,Area Mapping Mode,1.0,0,1,1,POINT(127.193842 36.084403),"POLYGON((127.010307 35.646538,126.637207 35.9785,127.379433 36.521984,127.751961 36.187725,127.010307 35.646538))",90.0,50.0,POINT(127.193842 36.078377),"POLYGON((126.635765 36.181698,127.008263 36.515957,127.750435 35.972477,127.377365 35.640514,126.635765 36.181698))",90.0,50.0,127.18972,36.08139,Daejeon,South Korea,1468000,border,,KOR,36238.63991,53.19832339,84.05037389705235,False
fossil0123,fossil_Chifeng_China,184,,,POINT(118.9549300000001 42.27207000000004),"POLYGON((118.4728033328494 41.91094106778155,118.4672832546045 42.63112627907557,119.4425767453957 42.63112627907557,119.4370566671508 41.91094106778155,118.4728033328494 41.91094106778155))",2,Area Mapping Mode,1.0,0,1,1,POINT(118.959907 42.274641),"POLYGON((118.687477 41.858772,118.338684 42.225708,119.235947 42.689857,119.582062 42.320217,118.687477 41.858772))",90.0,50.0,POINT(118.959907 42.269499),"POLYGON((118.337807 42.315098,118.683914 42.684723,119.581078 42.220543,119.232285 41.853619,118.337807 42.315098))",90.0,50.0,118.95493,42.27207,Chifeng,China,1277000,,,CHN,13303.14815,16.98812019,320.7695641352668,False
fossil0124,fossil_Hamburg_Germany,185,,,POINT(9.99183000000005 53.55375000000004),"POLYGON((9.39335852172988 53.19283634868796,9.383130083304877 53.91159624721446,10.60052991669522 53.91159624721446,10.59030147827022 53.19283634868796,9.39335852172988 53.19283634868796))",10,Area Mapping Mode,1.0,0,1,1,POINT(10.00939 53.563784),"POLYGON((9.335451 53.334245,9.322504 53.783335,10.690618 53.789491,10.689122 53.340338,9.335451 53.334245))",90.0,50.0,POINT(10.00939 53.563716),"POLYGON((9.329668 53.340261,9.328153 53.789415,10.696266 53.783277,10.683337 53.334188,9.329668 53.340261))",90.0,50.0,9.99183,53.55375,Hamburg,Germany,1757000,,,DEU,56103.73232,98.57425769,135.93023547060739,False
fossil0125,fossil_Pune_India,186,,,POINT(73.85302000000007 18.50422000000003),"POLYGON((73.47501798736337 18.14245997033188,73.47342843424767 18.86520796481015,74.23261156575245 18.86520796481015,74.23102201263677 18.14245997033188,73.47501798736337 18.14245997033188))",2,Area Mapping Mode,1.0,0,1,1,POINT(73.855929 18.507765),"POLYGON((73.781242 18.050798,73.4077 18.326122,73.931015 18.964701,74.305107 18.688349,73.781242 18.050798))",90.0,50.0,POINT(73.855929 18.500675),"POLYGON((73.406776 18.681274,73.780861 18.957613,74.304131 18.319019,73.930595 18.043707,73.406776 18.681274))",90.0,50.0,73.85302,18.50422,Pune,India,4672000,,,IND,2694.737809,12.58981504,94.2661731387755,False
fossil0126,fossil_Al_Ain_UAE,187,,,POINT(55.68635000000006 24.20739000000003),"POLYGON((55.29370256672934 23.84574396133976,55.29148349237983 24.56800124226665,56.0812165076203 24.56800124226665,56.07899743327079 23.84574396133976,55.29370256672934 23.84574396133976))",2,Area Mapping Mode,1.0,0,1,1,POINT(55.68952 24.210827),"POLYGON((55.593014 23.756874,55.216393 24.045286,55.786716 24.664719,56.163872 24.374903,55.593014 23.756874))",90.0,50.0,POINT(55.689519 24.203952),"POLYGON((55.215214 24.368076,55.592384 24.657852,56.162601 24.038363,55.785965 23.74999,55.215214 24.368076))",90.0,50.0,55.68635,24.20739,Al Ayn,United Arab Emirates,408733,,,ARE,50273.50605,20.54844095,112.92060317118657,False
